,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
97,EST,2015,31.0,CT,2,7,10.302331146077039,19.49685534591195,1182,0.1463620981387479
98,EST,2015,31.0,FT,8,31,10.900045648644031,16.736652669466107,152,0.17105263157894737
99,EST,2015,63.0,CT,2,7,12.988574875352072,23.093371347113326,4470,0.20223713646532437
100,EST,2015,63.0,FT,8,31,12.692372264816163,60.159151193633946,185,0.41621621621621624
101,EST,2017,20.0,CT,2,7,11.960133220387558,18.508997429305914,42,0.19047619047619047
102,EST,2017,34.0,CT,2,8,17.22609254888228,22.801788375558868,550,0.2672727272727273
103,EST,2017,38.0,CT,2,7,12.997624703087887,59.27209705372617,85,0.4470588235294118
104,EST,2018,31.0,CT,2,7,10.327595780122156,18.431048720066062,775,0.09419354838709677
105,EST,2018,31.0,CT,11,44,11.301433173088947,15.632441518419947,158,0.12025316455696203
106,EST,2018,63.0,CT,2,7,12.633689839572193,20.077903682719544,2573,0.1531286436066848
107,EST,2018,63.0,CT,11,44,13.390010626992561,17.73121726213744,155,0.25161290322580643
108,FIN,2013,20.0,FT,2,8,10.8499095840868,18.730489073881376,349,0.3209169054441261
109,FIN,2013,32.0,CT,2,8,8.621787454008622,17.191463960602896,832,0.15625
110,FIN,2013,50.0,CT,2,8,18.775491241482385,21.294215071572225,100,0.34
111,FIN,2013,50.0,FT,2,8,13.330372856431246,23.237800154918666,1640,0.20548780487804877
112,FIN,2014,20.0,CT,2,8,8.503602220385025,17.005196032120924,413,0.2106537530266344
113,FIN,2014,20.0,FT,2,8,12.102879904358744,20.1173512154233,236,0.4915254237288136
114,FIN,2014,32.0,CT,2,8,11.941536228879444,19.7327852004111,2399,0.23092955398082535
115,FIN,2014,32.0,FT,2,8,13.786500718046913,23.920265780730897,1113,0.29649595687331537
116,FIN,2015,20.0,FT,2,8,11.892963330029733,19.433198380566804,345,0.2811594202898551
117,FIN,2015,32.0,CT,2,8,9.146486931703006,17.404441758573803,456,0.16666666666666666
118,FIN,2015,50.0,CT,2,8,11.591963338400337,21.49510389300215,2182,0.1998166819431714
